"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"U.S. Senator","Thor Amundson","(Prefers Independent Party)",9393,0.55,"Federal"
"U.S. Senator","Dave Strider","(Prefers Independent Party)",6821,0.4,"Federal"
"U.S. Senator","Joey Gibson","(Prefers Republican Party)",38676,2.27,"Federal"
"U.S. Senator","Mike Luke","(Prefers Libertarian Party)",12302,0.72,"Federal"
"U.S. Senator","GoodSpaceGuy","(Prefers Republican Party)",7057,0.41,"Federal"
"U.S. Senator","Clint R. Tannehill","(Prefers Democratic Party)",35770,2.1,"Federal"
"U.S. Senator","Maria Cantwell","(Prefers Democratic Party)",929961,54.68,"Federal"
"U.S. Senator","Susan Hutchison","(Prefers Republican Party)",413317,24.3,"Federal"
"U.S. Senator","Brad Chase","(Prefers FDFR Party)",2655,0.16,"Federal"
"U.S. Senator","Tim Owen","(Prefers Republican Party)",23167,1.36,"Federal"
"U.S. Senator","Matthew D. Heines","(Prefers Republican Party)",7737,0.45,"Federal"
"U.S. Senator","Sam Wright","(Prefers The Human Rights Party)",3761,0.22,"Federal"
"U.S. Senator","Art Coday","(Prefers Republican Party)",30654,1.8,"Federal"
"U.S. Senator","John Orlinski","(Prefers Republican Party)",6905,0.41,"Federal"
"U.S. Senator","Charlie R Jackson","(Prefers Independent Party)",2411,0.14,"Federal"
"U.S. Senator","Keith Swank","(Prefers Republican Party)",39818,2.34,"Federal"
"U.S. Senator","Alex Tsimerman","(Prefers StandupAmerica Party)",1366,0.08,"Federal"
"U.S. Senator","RC Smith","(Prefers Republican Party)",2238,0.13,"Federal"
"U.S. Senator","Don L. Rivers","(Prefers Democratic Party)",12634,0.74,"Federal"
"U.S. Senator","Jennifer Gigi Ferguson","(Prefers Independent Party)",25224,1.48,"Federal"
"U.S. Senator","Steve Hoffman","(Prefers Freedom Socialist Party)",7390,0.43,"Federal"
"U.S. Senator","George H. Kalberer","(Prefers Democratic Party)",2448,0.14,"Federal"
"U.S. Senator","James Robert &quot;Jimmie&quot; Deal","(Prefers Green Party)",3849,0.23,"Federal"
"U.S. Senator","Roque &quot;Rocky&quot; De La Fuente","(Prefers Republican Party)",5724,0.34,"Federal"
"U.S. Senator","Jon Butler","(Prefers Independent Party)",2016,0.12,"Federal"
"U.S. Senator","Dave Bryant","(Prefers Republican Party)",33962,2,"Federal"
"U.S. Senator","Mohammad Said","(Prefers Democratic Party)",8649,0.51,"Federal"
"U.S. Senator","Matt Hawkins","(Prefers Republican Party)",13324,0.78,"Federal"
"U.S. Senator","Glen R Stockwell","(Prefers Republican Party)",11611,0.68,"Federal"
"Congressional District 1 - U.S. Representative","Robert Mair","(States No Party Preference)",1622,0.91,"Congressional"
"Congressional District 1 - U.S. Representative","Adam Pilskog","(States No Party Preference)",5007,2.8,"Congressional"
"Congressional District 1 - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",106107,59.3,"Congressional"
"Congressional District 1 - U.S. Representative","Jeffrey Beeler","(Prefers Republican Party)",45830,25.61,"Congressional"
"Congressional District 1 - U.S. Representative","Scott Stafne","(Prefers Republican Party)",20354,11.38,"Congressional"
"Congressional District 2 - U.S. Representative","Collin Richard Carlson","(Prefers Democratic Party)",12058,7.7,"Congressional"
"Congressional District 2 - U.S. Representative","Uncle Mover","(Prefers Moderate GOP Party)",11832,7.56,"Congressional"
"Congressional District 2 - U.S. Representative","Brian Luke","(Prefers Libertarian Party)",12320,7.87,"Congressional"
"Congressional District 2 - U.S. Representative","Stonewall Jackson Bird (Stoney)","(Prefers Green Party)",6525,4.17,"Congressional"
"Congressional District 2 - U.S. Representative","Rick Larsen","(Prefers Democratic Party)",101497,64.85,"Congressional"
"Congressional District 2 - U.S. Representative","Gary Franco","(Prefers Independent Party)",12269,7.84,"Congressional"
"Congressional District 3 - U.S. Representative","David McDevitt","(Prefers Democratic Party)",13124,8.01,"Congressional"
"Congressional District 3 - U.S. Representative","Michael Cortney","(Prefers Republican Party)",5528,3.37,"Congressional"
"Congressional District 3 - U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)",68961,42.07,"Congressional"
"Congressional District 3 - U.S. Representative","Carolyn Long","(Prefers Democratic Party)",57798,35.26,"Congressional"
"Congressional District 3 - U.S. Representative","Martin Hash","(Prefers Democratic Party)",1498,0.91,"Congressional"
"Congressional District 3 - U.S. Representative","Earl Bowerman","(Prefers Republican Party)",9018,5.5,"Congressional"
"Congressional District 3 - U.S. Representative","Dorothy Gasque","(Prefers Democratic Party)",7983,4.87,"Congressional"
"Congressional District 4 - U.S. Representative","Dan Newhouse","(Prefers Republican Party)",77203,63.24,"Congressional"
"Congressional District 4 - U.S. Representative","Christine Brown","(Prefers Democratic Party)",44868,36.76,"Congressional"
"Congressional District 5 - U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",99689,49.29,"Congressional"
"Congressional District 5 - U.S. Representative","Dave Saulibio","(Prefers Trump Populist Party)",4845,2.4,"Congressional"
"Congressional District 5 - U.S. Representative","Jered Gavin Bonneau","(Prefers Republican Party)",4453,2.2,"Congressional"
"Congressional District 5 - U.S. Representative","Lisa Brown","(Prefers Democratic Party)",91738,45.36,"Congressional"
"Congressional District 5 - U.S. Representative","Kari Olavi Ilonummi","(Prefers Republican Party)",1507,0.75,"Congressional"
"Congressional District 6 - U.S. Representative","Tyler Myles Vega","(Prefers Progressive Party)",7080,3.82,"Congressional"
"Congressional District 6 - U.S. Representative","Douglas Dightman","(Prefers Republican Party)",60651,32.68,"Congressional"
"Congressional District 6 - U.S. Representative","Derek Kilmer","(Prefers Democratic Party)",117848,63.5,"Congressional"
"Congressional District 7 - U.S. Representative","Craig Keller","(Prefers Republican Party)",39657,17.33,"Congressional"
"Congressional District 7 - U.S. Representative","Pramila Jayapal","(Prefers Democratic Party)",189175,82.67,"Congressional"
"Congressional District 8 - U.S. Representative","Dino Rossi","(Prefers GOP Party)",73288,43.12,"Congressional"
"Congressional District 8 - U.S. Representative","Jason Rittereiser","(Prefers Democratic Party)",30708,18.07,"Congressional"
"Congressional District 8 - U.S. Representative","Keith Arnold","(Prefers Independent)*(No Party)",1090,0.64,"Congressional"
"Congressional District 8 - U.S. Representative","Bill Grassie","(Prefers Indep. Centrist Party)",1163,0.68,"Congressional"
"Congressional District 8 - U.S. Representative","Kim Schrier","(Prefers Democratic Party)",31837,18.73,"Congressional"
"Congressional District 8 - U.S. Representative","Todd Mahaffey","(States No Party Preference)",673,0.4,"Congressional"
"Congressional District 8 - U.S. Representative","Jack Hughes-Hageman","(Prefers The Republican Party)",4270,2.51,"Congressional"
"Congressional District 8 - U.S. Representative","Shannon Hader","(Prefers Democratic Party)",21317,12.54,"Congressional"
"Congressional District 8 - U.S. Representative","Tom Cramer","(Prefers Democratic Party)",1468,0.86,"Congressional"
"Congressional District 8 - U.S. Representative","Gordon Allen Pross","(Prefers Republican Party)",2081,1.22,"Congressional"
"Congressional District 8 - U.S. Representative","Patrick Dillon","(Prefers Neither Major Party)",898,0.53,"Congressional"
"Congressional District 8 - U.S. Representative","Richard Travis Reyes","(Prefers Libertarian Party)",1154,0.68,"Congressional"
"Congressional District 9 - U.S. Representative","Doug Basler","(Prefers Republican Party)",36254,24.71,"Congressional"
"Congressional District 9 - U.S. Representative","Sarah Smith","(Prefers Democratic Party)",39409,26.86,"Congressional"
"Congressional District 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",71035,48.42,"Congressional"
"Congressional District 10 - U.S. Representative","Nancy Dailey Slotnick","(Prefers Indep. Centrist Party)",6127,4.32,"Congressional"
"Congressional District 10 - U.S. Representative","Tamborine Borrelli","(Prefers Ind. Progressive Party)",7997,5.63,"Congressional"
"Congressional District 10 - U.S. Representative","Joseph Brumbles ","(Prefers Republican Party)",45270,31.89,"Congressional"
"Congressional District 10 - U.S. Representative","Denny Heck","(Prefers Democratic Party)",82552,58.16,"Congressional"
